"NAME","RATING","VOTES","GENRE","YEAR"
"отверженные 25ая годовщина мюзикла",8.8,4660,"Drama, Music, Musical",2010
"начало",8.8,1858608,"Action, Adventure, Sci-Fi",2010
"душа и персона",8.6,2856,"Action, Crime, Thriller",2010
"плохой герой",8.4,1200,"Comedy, Crime, Drama",2010
"жизненный путь",8.4,2113,"Action, Drama",2010
"натаранг",8.4,1324,"Drama",2010
"пранчиеттан и сэйнт",8.3,4134,"Comedy, Drama",2010
"следы на песке",8.3,1423,"Comedy, Drama",2010
"guilt  sentence",8.3,743,"Drama, Mystery, Thriller",2010
"монтевидео божественное видение",8.3,10548,"Adventure, Comedy, Drama",2010
"пожары",8.3,125937,"Drama, Mystery, War",2010
"история игрушек большой побег",8.3,694295,"Animation, Adventure, Comedy",2010
"runway",8.2,1164,"Drama",2010
"кто убил капитана алекса",8.2,5142,"Action, Crime, Mystery",2010
"откровение",8.2,5836,"Action, Drama",2010
"полет",8.2,39141,"Drama",2010
"super",8.1,1887,"Drama",2010
"исчезновение харухи судзумии",8.1,5496,"Animation, Comedy, Drama",2010
"остров проклятых",8.1,1016272,"Mystery, Thriller",2010
"как приручить дракона",8.1,616569,"Animation, Action, Adventure",2010
"moner manush",8,1062,"Biography",2010
"меня зовут калам",8,3132,"Comedy, Drama",2010
"лидер",8,3443,"Drama",2010
"и небеса ради меня достанешь",8,4314,"Drama, Romance",2010
"элитный отряд враг внутри",8,75411,"Action, Crime, Drama",2010
"король говорит",8,597190,"Biography, Drama, History",2010
"меня зовут кхан",8,91645,"Drama",2010
"чёрный лебедь",8,653203,"Drama, Thriller",2010
"расскажи как любишь",7.9,1413,"Drama, Romance",2010
"чёрный мед",7.8,3752,"Comedy, Drama",2010
"portretul luptatorului la tinerete",7.8,740,"Action, Drama, History",2010
"ад",7.8,7313,"Action, Comedy, Crime",2010
"признания",7.8,32398,"Drama, Thriller",2010
"я видел дьявола",7.8,95093,"Action, Crime, Thriller",2010
"прогульщики",7.8,1041,"Drama",2010
"чeловек из ниоткуда",7.8,55764,"Action, Drama, Thriller",2010
"мадрасапаттинам",7.8,1914,"Drama, History, Romance",2010
"поэзия",7.8,8813,"Drama",2010
"боец",7.8,318296,"Biography, Drama, Sport",2010
"рапунцель запутанная история",7.8,370007,"Animation, Adventure, Comedy",2010
"wedingdeureseu",7.7,552,"Drama",2010
"как ты смогла меня очаровать",7.7,2549,"Romance",2010
"зеро 2",7.7,5340,"Comedy, Thriller",2010
"один из тысячи",7.7,2856,"Action, Adventure, Fantasy",2010
"гадкий я",7.7,468315,"Animation, Comedy, Family",2010
"социальная сеть",7.7,572378,"Biography, Drama",2010
"гарри поттер и дары смерти часть i",7.7,429806,"Adventure, Fantasy, Mystery",2010
"привет джули",7.7,75426,"Comedy, Drama, Romance",2010
"то что называется любовью",7.6,4059,"Comedy, Romance",2010
"привет призрак",7.6,3444,"Comedy, Drama",2010
"привет незнакомец",7.6,2353,"Comedy, Romance",2010
