NAME,"RATING","VOTES","GENRE","YEAR"
зеленая книга,8.324,137042,"комедия, драма, биография",2018
они никогда не станут старше,8.227,1942,"документальный, военный, история",2018
фрисоло,8.18,1291,"документальный, спорт",2018
хильда,8.167,1678,"мультфильм, фэнтези, комедия",2018
капернаум,8.146,12884,"драма",2018
маккуин,8.135,1523,"документальный, биография",2018
знаешь мама где я был,8.109,1219,"мультфильм, документальный, комедия",2018
остров собак,8.103,47249,"мультфильм, фантастика, фэнтези",2018
я  пол уокер,8.072,504,"документальный",2018
призраки дома на холме,8.042,16166,"драма, ужасы",2018
человекпаук через вселенные,7.998,66115,"мультфильм, фантастика, боевик",2018
хочу съесть твою поджелудочную железу,7.992,801,"аниме, мультфильм, драма",2018
домашний арест,7.983,24844,"комедия",2018
крайний космос,7.978,6900,"мультфильм, фантастика, фэнтези",2018
богемская рапсодия,7.97,135163,"драма, биография, музыка",2018
шучу,7.947,6203,"драма, комедия",2018
вайолет эвергарден,7.934,1597,"аниме, мультфильм, драма",2018
кобра кай,7.92,1720,"боевик, драма, комедия",2018
нарко мексика,7.879,2836,"драма, криминал",2018
мстители война бесконечности,7.878,163332,"фантастика, боевик, приключения",2018
ранняя пташка,7.871,1161,"драма, комедия, мелодрама",2018
поза,7.847,1767,"драма",2018
я  препод,7.84,1538,"драма, комедия",2018
укрась прощальное утро цветами обещания,7.797,7493,"аниме, мультфильм, драма",2018
моя гениальная подруга,7.777,812,"драма, мелодрама, семейный",2018
великолепные медичи,7.757,1501,"драма",2018
врата штейна ноль,7.726,638,"аниме, мультфильм, фантастика",2018
что случилось с секретарём ким,7.72,1111,"мелодрама",2018
слон сидит спокойно,7.712,693,"драма",2018
йеллоустоун,7.705,2387,"драма, вестерн",2018
отель мумбаи противостояние,7.704,14400,"триллер, драма, история",2018
отверженные,7.694,1762,"драма, мелодрама, история",2018
кто есть америка,7.656,879,"комедия",2018
этот глупый свин не понимает мечту девочкизайки,7.651,796,"аниме, мультфильм, комедия",2018
полицейский с рублёвки 3,7.645,11568,"комедия, детектив, приключения",2018
полицейский с рублёвки мы тебя найдём,7.636,7525,"комедия, криминал",2018
патрик мелроуз,7.63,16148,"драма",2018
обычная женщина,7.616,5294,"драма, криминал",2018
резидент,7.596,1466,"драма",2018
с богами последние 49 дней,7.587,582,"драма, фэнтези, приключения",2018
трагедия в уэйко,7.585,3121,"триллер, драма, криминал",2018
метод комински,7.585,2148,"комедия",2018
принц драконов,7.581,931,"мультфильм, фэнтези, семейный",2018
острые предметы,7.575,18664,"триллер, драма, криминал",2018
робин уильямс загляни в мою душу,7.569,626,"документальный, комедия, биография",2018
восхождение героя щита,7.563,607,"аниме, мультфильм, боевик",2018
о моём перерождении в слизь,7.559,503,"аниме, мультфильм, комедия",2018
видоизмененный углерод,7.556,22091,"фантастика, боевик, триллер",2018
апгрейд,7.555,72829,"фантастика, боевик, триллер",2018
убивая еву,7.553,7911,"триллер, драма",2018
правда о деле гарри квеберта,7.551,1377,"драма, криминал",2018
телохранитель,7.546,3588,"триллер, драма, криминал",2018
маньяк,7.54,14718,"фантастика, драма, комедия",2018
работа без авторства,7.54,992,"триллер, драма, мелодрама",2018
крепость бадабер,7.499,2104,"драма, военный",2018
романтики 303,7.484,1985,"комедия, мелодрама",2018
911 служба спасения,7.469,2197,"боевик, триллер, драма",2018
траст,7.465,2136,"драма, криминал, биография",2018
сорняки,7.457,1716,"комедия",2018
годунов,7.449,2971,"история, драма",2018
побег из тюрьмы даннемора,7.446,2980,"драма, криминал, биография",2018
счастливый лазарь,7.442,3018,"фэнтези, драма",2018
вне игры,7.432,1900,"спорт, драма, комедия",2018
человекдьявол плакса,7.43,1309,"аниме, мультфильм, ужасы",2018
